stdio    D         file_stdio.c:109  file_stdio_fopen                 [   0.00000] opening E:\_____VisualStudio_Projects\GameFromScratch\Allegro_Project\Debug\allegro5.cfg r
display  D   display_settings.c:398  _al_score_display_settings       [   0.18052] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18055] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18058] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18061] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18065] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18067] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18070] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18073] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18076] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18079] color: 16 (rgba 5650), depth: 24, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18082] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18084] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18089] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18091] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:398  _al_score_display_settings       [   0.18095] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18097] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18101] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18103] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18107] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18109] color: 16 (rgba 5650), depth: 16, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:398  _al_score_display_settings       [   0.18113] Single Buffer requirement not met.
display  D   display_settings.c:212  debug_display_settings           [   0.18116] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18119] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18122] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18126] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18129] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18132] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18134] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18138] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18140] color: 32 (rgba 8880), depth: 0, stencil: 0, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18143] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18145] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18148] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18150] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18153] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18156] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18159] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18161] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18164] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18166] color: 32 (rgba 8880), depth: 24, stencil: 8, acc: 0000, samples: 4/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18169] Score is : 589
display  D   display_settings.c:212  debug_display_settings           [   0.18171] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18174] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18176] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 0/0
display  D   display_settings.c:527  _al_score_display_settings       [   0.18179] Score is : 769
display  D   display_settings.c:212  debug_display_settings           [   0.18181] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 2/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18184] Score is : 598
display  D   display_settings.c:212  debug_display_settings           [   0.18186] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 3/1
display  D   display_settings.c:527  _al_score_display_settings       [   0.18189] Score is : 593
display  D   display_settings.c:212  debug_display_settings           [   0.18191] color: 32 (rgba 8880), depth: 24, stencil: 0, acc: 0000, samples: 4/1
